medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid,term,readcode,medcode,eth16,eth5
6270381000006117,^ESCTET627038,^ESCTET627038,365455004,2670706014,,22,ethnic groups (1991 census) (uk),^ESCTET627038,,17. Not Stated,5. Not Stated
2484591000000115,9t2,9t2..00,976611000000109,2484591000000115,,22,ethnic category - 2011 census scotland,9t2..00,,17. Not Stated,5. Not Stated
253627011,226,226..00,162730000,253627011,,27,o/e - ethnic group,226..00,,17. Not Stated,5. Not Stated
4740421000006111,^ESCTET474042,^ESCTET474042,186034007,286004017,,22,ethnicity / related nationality data,^ESCTET474042,,17. Not Stated,5. Not Stated
6591901000006115,^ESCTET659190,^ESCTET659190,397731000,1785938019,,22,ethnicity,^ESCTET659190,,17. Not Stated,5. Not Stated
2484551000000111,9t1,9t1..00,976591000000101,2484551000000111,,22,ethnic category - 2011 census northern ireland,9t1..00,,17. Not Stated,5. Not Stated
253628018,226-1,226..11,162730000,253628018,,27,o/e - ethnic origin,226..11,,17. Not Stated,5. Not Stated
2484511000000112,9t0,9t0..00,976571000000100,2484511000000112,,22,ethnic category - 2011 census england and wales,9t0..00,,17. Not Stated,5. Not Stated
253635014,226Z,226Z.00,162730000,253627011,,27,o/e - ethnic group nos,226Z.00,,17. Not Stated,5. Not Stated
6270391000006119,^ESCTET627039,^ESCTET627039,365455004,2982933016,,22,ethnic groups (1991 census) (united kingdom),^ESCTET627039,,17. Not Stated,5. Not Stated
286003011,9SZ,9SZ..00,397731000,1777341010,,22,ethnic groups (census) nos,9SZ..00,45199.0,17. Not Stated,5. Not Stated
286005016,9T,9T...00,186034007,286005016,,22,ethnicity and other related nationality data,9T...00,,17. Not Stated,5. Not Stated
6591911000006117,^ESCTET659191,^ESCTET659191,397731000,1785939010,,22,ethnic groups,^ESCTET659191,,17. Not Stated,5. Not Stated
